Row Labels,count of jobs,,,
Construction Realty Services Group,1,,,
AirSage,1,,,
Conversica,1,,,
Bose,1,,,
Cooperative Institute for Research in the Atmosphere,1,,,
Asian Americans Advancing Justice - Los Angeles,1,,,
Corning,1,,,
Akamai,1,,,
Becton Dickinson & Company,1,,,
A2e Technologies,1,,,
Beeswax,1,,,
AARP,1,,,
Aramco Services Company,1,,,
Bowery Farming,1,,,
Crédit Agricole CIB,1,,,
Boxed,1,,,
Credibly,1,,,
Asimov,1,,,
Criterion Systems,1,,,
Aki Technologies,1,,,
2M Research Services,1,,,
Akili Interactive,1,,,
Celonis,1,,,
"Akima, LLC",1,,,
Centene Corporation,1,,,
"APEXIGEN, INC.",1,,,
Center for Sustainable Energy,1,,,
3Q Digital,1,,,
Alpha,1,,,
Bridges and Tunnels,1,,,
AccessLex Institute,1,,,
ASRC Federal Holding Company,1,,,
AutoGrid Systems,1,,,
Bright Power,1,,,
Cervello Inc,1,,,
AB Sciex Pte,1,,,
Autonomous Therapeutics,1,,,
Brighterion,1,,,
"Applied Research Associates, Inc",1,,,
Brightidea,1,,,
Change.org,1,,,
Brillio,1,,,
Altice USA,1,,,
AkzoNobel,1,,,
6sense,1,,,
Alaka`ina Foundation Family of Companies,1,,,
ChartSpan,1,,,
Brokerage Consultants Inc.,1,,,
Amazon Go,1,,,
Brookfield Asset Management,1,,,
Aviva,1,,,
Assembly,1,,,
Acima Spirits,1,,,
Bureau Veritas,1,,,
Children's Hospital & Research Center Oakland,1,,,
Burning Glass Technologies,1,,,
Children's Tumor Foundation,1,,,
Association of American Medical Colleges,1,,,
AXA General Insurance,1,,,
Burson-Marsteller,1,,,
CiBO Technologies,1,,,
Burst Inc.,1,,,
Cibus US LLC,1,,,
10x Genomics,1,,,
Circle Internet Financial,1,,,
Butterfly Network,1,,,
AppNexus,1,,,
Crossfire,1,,,
Axioma Inc.,1,,,
Androcles-Group,1,,,
Adecco,1,,,
ASTA CRS,1,,,
AXS Group LLC,1,,,
Alere,1,,,
Ayasdi,1,,,
CableLabs,1,,,
Clara,1,,,
Cabot Corporation,1,,,
Clarifai,1,,,
1199SEIU Family of Funds,1,,,
American Dental Association,1,,,
California Rehabilitation Institute,1,,,
American Environmental Assessment,1,,,
3D Systems,1,,,
Clinical Solutions Group,1,,,
Calithera Biosciences,1,,,
Clora,1,,,
Callière Group,1,,,
Baim Institute for Clinical Research,1,,,
Advanced Sciences and Technologies (AS&T),1,,,
BAIN & COMPANY,1,,,
Cambridge Consultants Ltd,1,,,
CMTC,1,,,
Cambridge Trust Company,1,,,
Cobalt Robotics,1,,,
Camden Kelly Corporation,1,,,
Codiak BioSciences,1,,,
App Info,1,,,
AeroFarms,1,,,
Camris International,1,,,
Cogitativo,1,,,
"Angiex, Inc.",1,,,
Cognition Financial Corporation,1,,,
"Canon U.S.A., Inc.",1,,,
Bank of America Merchant Services,1,,,
Capax Global LLC,1,,,
Coherent Germany,1,,,
Capella Space,1,,,
Coinlist,1,,,
Alexza Pharmaceuticals,1,,,
College of Marin,1,,,
Capital Group,1,,,
BARK,1,,,
Algorithmia,1,,,
Base Operations,1,,,
CapTech Consulting,1,,,
Comlinkdata,1,,,
Captricity,1,,,
Amobee,1,,,
Anokion,1,,,
Compass Lexecon,1,,,
Atlantic Media,1,,,
Bay Shore Staffing,1,,,
Cardinal Solutions,1,,,
Comtech Global Inc,1,,,
Atlas Research,1,,,
ConAgra Foods,1,,,
Careers In Nonprofits,1,,,
Conde Nast,1,,,
Atlas Wearables,1,,,
Connection Lab,1,,,
Carnegie Institution,1,,,
Amperity,1,,,
Carnegie Institution for Science,1,,,
CONSUMER AFFAIRS,1,,,
Carney,1,,,
Bayer,1,,,
Alion Science and Technology,1,,,
"Amplify Education, Inc.",1,,,
"Carters, Inc",1,,,
Amtrak,1,,,
Atlassian,1,,,
CooperSurgical,1,,,
Casper,1,,,
"Cornerstone Search Group, LLC",1,,,
"Advanced Technology Solutions, Inc",1,,,
Beclyn Group Recruiting,1,,,
Atrius Health,1,,,
Amyx Inc,1,,,
1871,1,,,
Coupa Software,1,,,
Allen Frontiers Group,1,,,
Aptus Health,1,,,
"Attorney General, Office of the",1,,,
2U,1,,,
Academia.edu,1,,,
Courtney Raymond Consultants,1,,,
Audley Travel,1,,,
Cox Enterprises,1,,,
CBS Television Network,1,,,
Coyote Logistics,1,,,
Aurora Flight Sciences,1,,,
Crafty Machine,1,,,
ACADIA Pharmaceuticals Inc.,1,,,
Cray,1,,,
CDM Smith,1,,,
ANALYTICA,1,,,
AllianceData,1,,,
Analytics Associates,1,,,
Acadian Asset,1,,,
"Crop One Holdings, Inc.",1,,,
24 Hour Fitness,1,,,
Advantage SCI,1,,,
Alchemy Legal,1,,,
C. R. Bard,1,,,
CSI Interfusion,1,,,
BlackRock,1,,,
CTG,1,,,
Blackstone Technology Group,1,,,
Cugene Inc,1,,,
BlackThorn Therapeutics,1,,,
Blockstack,1,,,
(blank),,,,
Grand Total,6953,,,
